district	insufficient_infrastructure	convenient_for_life	very_convenient_for_life	few_entertainment	cultural	entertainment	cultural_entertainment	top_residential_infrastructure	top_entertainment_infrastructure	residential_infrastructure_rating	entertainment_infrastructure_rating
Академический	4	31	65	16	2	51	31	7	25	91	76
Алексеевский	17	57	26	6	3	54	37	72	16	74	85
Алтуфьевский	15	45	40	50	0	50	0	55	66	78	42
Арбат	0	0	100	0	0	0	100	1	3	100	100
Аэропорт	3	32	65	16	0	49	35	5	23	92	76
Бабушкинский	17	20	63	25	3	49	23	45	34	80	66
Басманный	6	22	72	1	0	8	91	9	7	91	97
Беговой	9	36	55	0	0	23	77	22	8	85	97
Бескудниковский	7	93	0	33	0	67	0	48	51	79	56
Бибирево	4	78	18	12	0	88	0	34	26	84	74
Бирюлёво Восточное	27	73	0	58	0	42	0	94	75	62	36
Бирюлёво Западное	15	85	0	96	0	4	0	79	111	72	3
Богородское	7	88	5	91	0	9	0	47	108	79	8
Братеево	10	67	23	67	0	33	0	46	85	80	28
Бутырский	8	29	63	37	0	50	13	14	53	87	55
Вешняки	11	89	0	77	23	0	0	67	98	75	19
Войковский	38	31	31	50	0	50	0	101	64	58	42
Восточное Дегунино	21	79	0	93	0	7	0	85	109	67	6
Восточное Измайлово	0	100	0	19	69	12	0	30	30	85	68
Выхино-Жулебино	16	66	18	76	0	24	0	73	96	74	20
Гагаринский	18	45	37	0	3	29	68	70	11	75	95
Головинский	35	42	23	61	2	37	0	99	79	59	33
Гольяново	20	80	0	83	0	17	0	83	103	68	14
Даниловский	60	24	16	11	4	18	67	115	17	36	85
Дмитровский	21	79	0	44	3	50	3	84	60	67	48
Донской	44	13	43	9	0	52	39	105	18	55	83
Дорогомилово	12	15	73	0	0	27	73	19	10	86	96
Замоскворечье	10	17	73	0	0	0	100	12	2	87	100
Западное Дегунино	4	96	0	64	0	36	0	40	83	82	30
Зюзино	11	73	16	67	0	33	0	51	86	78	28
Зябликово	8	67	25	61	0	39	0	41	80	81	33
Ивановское	14	86	0	86	0	14	0	76	105	73	12
Измайлово	3	97	0	27	49	8	16	37	36	82	64
Капотня	50	50	0	100	0	0	0	114	117	42	0
Коньково	2	65	33	45	2	32	21	11	59	88	49
Коптево	5	95	0	45	45	5	5	44	61	80	48
Косино-Ухтомский	29	71	0	50	0	50	0	97	65	60	42
Котловка	0	87	13	21	54	8	17	15	29	87	70
Красносельский	11	56	33	4	4	7	85	43	12	80	95
Крылатское	7	93	0	40	21	39	0	50	56	79	51
Кузьминки	16	49	35	29	0	61	10	60	43	77	61
Кунцево	17	49	34	56	6	35	3	65	71	76	38
Куркино	46	54	0	54	0	46	0	112	69	46	39
Левобережный	36	64	0	68	0	32	0	106	87	54	27
Лефортово	8	55	37	13	8	53	26	36	21	84	78
Лианозово	9	36	55	42	0	52	6	23	58	85	50
Ломоносовский	3	70	27	13	0	87	0	17	28	86	73
Лосиноостровский	14	83	3	78	0	22	0	74	99	73	19
Люблино	29	67	4	60	0	36	4	96	76	61	35
Марфино	33	67	0	83	6	11	0	103	104	56	14
Марьина Роща	3	27	70	23	20	0	57	4	27	93	74
Марьино	17	30	53	24	0	76	0	52	35	78	65
Метрогородок	0	100	0	100	0	0	0	31	115	85	0
Мещанский	3	69	28	0	0	10	90	16	5	86	98
Митино	17	44	39	54	0	46	0	64	70	76	39
Можайский	25	75	0	95	0	5	0	91	110	63	5
Молжаниновский	83	17	0	100	0	0	0	117	118	14	0
Москворечье-Сабурово	40	60	0	57	3	40	0	110	74	51	37
Нагатино-Садовники	39	53	8	76	0	24	0	108	97	52	20
Нагатинский Затон	22	78	0	80	0	20	0	86	100	66	17
Нагорный	12	18	70	33	0	67	0	24	49	85	56
Некрасовка	67	33	0	100	0	0	0	116	116	28	0
Нижегородский	26	53	21	32	0	68	0	88	47	66	58
Ново-Переделкино	17	83	0	69	0	31	0	80	88	70	27
Новогиреево	8	43	49	28	3	60	9	26	40	85	62
Новокосино	0	100	0	21	0	79	0	29	33	85	66
Обручевский	9	78	13	32	5	40	23	54	44	78	61
Орехово-Борисово Северное	14	71	15	66	5	29	0	71	84	74	29
Орехово-Борисово Южное	22	51	27	69	0	31	0	81	89	70	26
Останкинский	12	36	52	3	3	18	76	38	13	82	94
Отрадное	10	33	57	21	0	79	0	21	32	85	67
Очаково-Матвеевское	40	60	0	100	0	0	0	111	112	50	0
Перово	21	68	11	91	0	9	0	82	107	69	8
Печатники	11	89	0	77	0	17	6	68	94	75	20
Покровское-Стрешнево	29	54	17	71	8	21	0	93	91	63	25
Преображенское	21	38	41	33	13	16	38	77	42	72	61
Пресненский	17	27	56	16	0	30	54	49	19	79	80
Проспект Вернадского	20	21	59	26	3	71	0	61	39	76	62
Раменки	26	64	10	76	11	10	3	90	95	64	20
Ростокино	50	39	11	34	44	0	22	113	45	44	60
Рязанский	0	100	0	38	0	60	2	27	54	85	53
Савёловский	0	54	46	33	4	46	17	6	46	92	59
Свиблово	19	0	81	4	0	46	50	42	14	81	89
Северное Бутово	10	42	48	6	0	94	0	32	20	84	79
Северное Измайлово	0	100	0	34	0	63	3	28	52	85	56
Северное Медведково	4	28	68	27	0	73	0	8	41	91	61
Северное Тушино	14	67	19	52	0	48	0	62	67	76	41
Северный	100	0	0	100	0	0	0	118	114	0	0
Сокол	4	81	15	15	30	22	33	35	22	84	77
Соколиная Гора	19	33	48	34	8	43	15	66	48	75	57
Сокольники	11	25	64	7	11	14	68	20	15	85	89
Солнцево	29	71	0	100	0	0	0	98	113	60	0
Строгино	22	78	0	55	0	45	0	87	73	66	38
Таганский	1	36	63	0	0	25	75	3	9	93	96
Тверской	0	15	85	0	0	0	100	2	1	98	100
Текстильщики	14	49	37	65	9	9	17	53	81	78	32
Тёплый Стан	13	66	21	73	4	23	0	58	92	77	23
Тимирязевский	28	41	31	54	8	10	28	89	63	65	43
Тропарёво-Никулино	34	31	35	33	0	67	0	95	50	62	56
Филёвский Парк	38	35	27	45	3	14	38	102	55	57	52
Фили-Давыдково	13	81	6	83	0	17	0	69	102	75	14
Хамовники	6	44	50	0	6	2	92	13	4	87	99
Ховрино	9	91	0	60	0	40	0	57	78	77	34
Хорошёво-Мнёвники	8	92	0	65	20	7	8	56	82	78	30
Хорошёвский	11	47	42	23	3	50	24	39	31	82	68
Царицыно	14	86	0	70	0	30	0	75	90	73	26
Черёмушки	0	63	37	57	11	17	15	10	68	90	39
Чертаново Северное	21	18	61	26	0	74	0	63	38	76	62
Чертаново Центральное	10	31	59	26	0	74	0	25	37	85	63
Чертаново Южное	25	75	0	60	0	40	0	92	77	63	34
Щукино	10	27	63	41	2	51	6	18	57	86	51
Южное Бутово	21	42	37	76	0	24	0	78	93	72	21
Южное Медведково	35	65	0	88	0	12	0	104	106	55	10
Южное Тушино	42	33	25	55	0	45	0	107	72	53	38
Южнопортовый	35	41	24	15	3	56	26	100	24	58	76
Якиманка	5	67	28	0	0	11	89	33	6	84	98
Ярославский	39	61	0	83	0	14	3	109	101	52	15
Ясенево	18	32	50	48	0	52	0	59	62	77	44
